ticker,close,open,high,low,volume,change_%,value_traded,pe,pb,roe,roa,op_margin,net_margin,debt_to_equity,rev_growth,rvol,hhi_score,foreign_ratio,tarih,growth_discount,margin_power,sweep_ratio,vol_z,quant_score,regime,score_diff
VAKFN,1.17,1.19,1.2,1.16,51542968.0,-2.500000000000002,60305272.559999995,4.116819141449683,0.8652694167936221,22.8808545831209,4.32300573835319,91.8868986896725,26.514427002687395,99.0,0.0,1.2927424476473595,2815.93,6.0,2026-08-31,26.44,,5.0,0.54,83.6,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),83.6
ALBRK,8.62,9.11,9.12,8.6,16077074.0,-5.378704720087818,138584377.88,2.315088360100983,0.6696081782307428,34.3970756422385,1.98665722068096,22.60558887227479,28.579013226971718,99.0,0.0,1.2136389990532659,2717.05,5.85,2026-08-31,51.37,,5.0,0.4,83.0,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),83.0
VAKBN,31.88,33.22,33.24,31.62,59948123.0,-5.0625372245384135,1911146161.24,4.139130886381636,0.870469116776927,24.6140156476693,1.43999427765366,32.04175801935007,22.801700535883494,99.0,0.0,1.0959300736329936,2569.91,0.99,2026-08-31,28.28,,5.0,0.18,81.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),81.8
GWIND,22.74,23.46,23.48,22.6,4268647.0,-3.069053708439908,97069032.77999999,5.663478780633592,0.6831612762317857,14.3448139084257,10.6383021197461,27.6018533934681,79.8750676518264,99.0,0.0,1.1679183907473285,2659.9,0.91,2026-08-31,21.0,,5.0,0.31,81.2,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),81.2
EGEGY,29.6,32.88,32.88,29.6,1961166.0,-9.975669099756693,58050513.6,5.119070266157066,2.220981673899864,61.2777816935109,15.2789654421925,31.4892577002756,22.742379565229,99.0,0.0,0.4519137734862072,1764.89,8.0,2026-08-31,27.59,,5.0,-1.01,80.9,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.9
PSGYO,3.24,3.34,3.35,3.23,61371605.0,-2.9940119760478936,198844000.20000002,6.9289991445680075,0.5249641517535261,7.94952628156929,3.60077219041865,-20.5518492208091,226.322534083369,99.0,0.0,0.5105863169249333,1838.23,3.33,2026-08-31,15.14,,5.0,-0.91,80.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.8
A1CAP,8.03,8.67,8.67,8.0,11309485.0,-7.060185185185198,90815164.55,4.158036454018227,0.5936982223802788,17.711826641543,6.32326953780327,36.4648518190014,7.62879343896816,99.0,0.0,1.68448150273912,3305.6,5.49,2026-08-31,29.83,,5.0,1.27,80.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.8
TURSG,6.1,6.24,6.31,6.09,35755529.0,-2.5559105431309925,218108726.89999998,5.1629284807448155,2.0663886639950406,49.9664216719778,14.3540032056078,32.1419450908008,24.8753155254209,99.0,0.0,0.542335055218751,1877.92,5.45,2026-08-31,24.18,,5.0,-0.85,80.6,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.6
DUNYH,145.5,159.6,161.9,144.9,1204089.0,-9.627329192546584,175194949.5,8.37332965021926,3.098043165216406,46.43083034837,41.4797317325236,-6.47202232577897,232.801566181794,99.0,0.0,1.599194883485881,3198.99,6.02,2026-08-31,14.99,,5.0,1.11,80.5,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.5
ANSGR,26.98,27.5,27.5,26.94,2808509.0,-1.8909090909090893,75773572.82000001,3.4572900381865246,1.3474605263486468,46.7557305906275,12.3695557494491,16.7368422230775,16.9342505692388,99.0,0.0,0.6070040018909613,1958.76,4.0,2026-08-31,34.7,,5.0,-0.73,80.4,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.4
